"filename", "language", "Go", "Go Checksum File", "Go Module File", "comment", "blank", "total"
"/run/media/soroush/Drive G/goTmp/architectures/makesqlc.go", "Go", 16, 0, 0, 0, 10, 26
"/run/media/soroush/Drive G/goTmp/go.mod", "Go Module File", 0, 0, 10, 0, 2, 12
"/run/media/soroush/Drive G/goTmp/go.sum", "Go Checksum File", 0, 23, 0, 0, 1, 24
"/run/media/soroush/Drive G/goTmp/main.go", "Go", 3, 0, 0, 3, 0, 6
"Total", "-", 19, 23, 10, 3, 13, 68
